"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"G4643";"G 46.43";"Großhandel mit Foto- und optischen Erzeugnissen, elektrischen Haushaltsgeräten und Geräten der Unterhaltungselektronik";""
4;"G4644";"G 46.44";"Großhandel mit keramischen Erzeugnissen, Glaswaren und Reinigungsmitteln";""
4;"G4645";"G 46.45";"Großhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln";""
4;"G4646";"G 46.46";"Großhandel mit pharmazeutischen Erzeugnissen und medizinischen Hilfsmitteln";""
4;"G4647";"G 46.47";"Großhandel mit Möbeln, Teppichen, Lampen und Leuchten";""
4;"G4648";"G 46.48";"Großhandel mit Uhren und Schmuck";""
4;"G4649";"G 46.49";"Großhandel mit sonstigen Gebrauchs- und Verbrauchsgütern";""
3;"G465";"G 46.5";"Großhandel mit Geräten der Informations- und Kommunikationstechnik";""
4;"G4650";"G 46.50";"Großhandel mit Geräten der Informations- und Kommunikationstechnik";""
3;"G466";"G 46.6";"Großhandel mit sonstigen Maschinen, Ausrüstungen und Zubehör";""
4;"G4661";"G 46.61";"Großhandel mit landwirtschaftlichen Maschinen und Geräten";""
4;"G4662";"G 46.62";"Großhandel mit Werkzeugmaschinen";""
4;"G4663";"G 46.63";"Großhandel mit Bergwerks-, Bau- und Baustoffmaschinen";""
4;"G4664";"G 46.64";"Großhandel mit sonstigen Maschinen und Ausrüstungen";""
3;"G467";"G 46.7";"Großhandel mit Kraftwagen, Krafträdern, deren Teilen und Zubehör";""
4;"G4671";"G 46.71";"Großhandel mit Kraftwagen";""
4;"G4672";"G 46.72";"Großhandel mit Kraftwagenteilen und -zubehör";""
4;"G4673";"G 46.73";"Großhandel mit Krafträdern, Kraftradteilen und -zubehör";""
3;"G468";"G 46.8";"Sonstiger Großhandel";""
4;"G4681";"G 46.81";"Großhandel mit festen Brennstoffen und Mineralölerzeugnissen";""
4;"G4682";"G 46.82";"Großhandel mit Erzen, Metallen und Metallhalbzeug";""
4;"G4683";"G 46.83";"Großhandel mit Holz, Baustoffen, Anstrichmitteln und Sanitärausstattung";""
4;"G4684";"G 46.84";"Großhandel mit Metall- und Kunststoffwaren für Bauzwecke sowie Installationsbedarf für Gas, Wasser und Heizung";""
4;"G4685";"G 46.85";"Großhandel mit chemischen Erzeugnissen";""
4;"G4686";"G 46.86";"Großhandel mit sonstigen Halbwaren";""
4;"G4687";"G 46.87";"Großhandel mit Altmaterialien und Reststoffen";""
4;"G4689";"G 46.89";"Sonstiger Großhandel a. n. g.";""
3;"G469";"G 46.9";"Großhandel ohne ausgeprägten Schwerpunkt";""
4;"G4690";"G 46.90";"Großhandel ohne ausgeprägten Schwerpunkt";""
2;"G47";"G 47";"Einzelhandel";""
