"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
3;"N692";"N 69.2";"Accounting, bookkeeping and auditing activities; tax consultancy";""
4;"N6920";"N 69.20";"Accounting, bookkeeping and auditing activities; tax consultancy";""
2;"N70";"N 70";"Activities of head offices and management consultancy";""
3;"N701";"N 70.1";"Activities of head offices";""
4;"N7010";"N 70.10";"Activities of head offices";""
3;"N702";"N 70.2";"Business and other management consultancy activities";""
4;"N7020";"N 70.20";"Business and other management consultancy activities";""
2;"N71";"N 71";"Architectural and engineering activities; technical testing and analysis";""
3;"N711";"N 71.1";"Architectural and engineering activities and related technical consultancy";""
4;"N7111";"N 71.11";"Architectural activities";""
4;"N7112";"N 71.12";"Engineering activities and related technical consultancy";""
3;"N712";"N 71.2";"Technical testing and analysis";""
4;"N7120";"N 71.20";"Technical testing and analysis";""
2;"N72";"N 72";"Scientific research and development";""
3;"N721";"N 72.1";"Research and experimental development on natural sciences and engineering";""
4;"N7210";"N 72.10";"Research and experimental development on natural sciences and engineering";""
3;"N722";"N 72.2";"Research and experimental development on social sciences and humanities";""
4;"N7220";"N 72.20";"Research and experimental development on social sciences and humanities";""
2;"N73";"N 73";"Activities of advertising, market research and public relations";""
3;"N731";"N 73.1";"Advertising";""
4;"N7311";"N 73.11";"Activities of advertising agencies";""
4;"N7312";"N 73.12";"Media representation";""
3;"N732";"N 73.2";"Market research and public opinion polling";""
4;"N7320";"N 73.20";"Market research and public opinion polling";""
3;"N733";"N 73.3";"Public relations and communication activities";""
4;"N7330";"N 73.30";"Public relations and communication activities";""
2;"N74";"N 74";"Other professional, scientific and technical activities";""
3;"N741";"N 74.1";"Specialised design activities";""
4;"N7411";"N 74.11";"Industrial product and fashion design activities";""
4;"N7412";"N 74.12";"Graphic design and visual communication activities";""
4;"N7413";"N 74.13";"Interior design activities";""
4;"N7414";"N 74.14";"Other specialised design activities";""
3;"N742";"N 74.2";"Photographic activities";""
4;"N7420";"N 74.20";"Photographic activities";""
3;"N743";"N 74.3";"Translation and interpretation activities";""
4;"N7430";"N 74.30";"Translation and interpretation activities";""
3;"N749";"N 74.9";"Other professional, scientific and technical activities n.e.c.";""
4;"N7491";"N 74.91";"Patent brokering and marketing service activities";""
4;"N7499";"N 74.99";"All other professional, scientific and technical activities n.e.c.";""
2;"N75";"N 75";"Veterinary activities";""
3;"N750";"N 75.0";"Veterinary activities";""
4;"N7500";"N 75.00";"Veterinary activities";""
1;"O";"O";"ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES";""
2;"O77";"O 77";"Rental and leasing activities";""
3;"O771";"O 77.1";"Rental and leasing of motor vehicles";""
4;"O7711";"O 77.11";"Rental and leasing of cars and light motor vehicles";""
4;"O7712";"O 77.12";"Rental and leasing of trucks";""
3;"O772";"O 77.2";"Rental and leasing of personal and household goods";""
4;"O7721";"O 77.21";"Rental and leasing of recreational and sports goods";""
4;"O7722";"O 77.22";"Rental and leasing of other personal and household goods";""
3;"O773";"O 77.3";"Rental and leasing of other machinery, equipment and tangible goods";""
4;"O7731";"O 77.31";"Rental and leasing of agricultural machinery and equipment";""
4;"O7732";"O 77.32";"Rental and leasing of construction and civil engineering machinery and equipment";""
4;"O7733";"O 77.33";"Rental and leasing of office machinery, equipment and computers";""
4;"O7734";"O 77.34";"Rental and leasing of water transport equipment";""
4;"O7735";"O 77.35";"Rental and leasing of air transport equipment";""
4;"O7739";"O 77.39";"Rental and leasing of other machinery, equipment and tangible goods n.e.c.";""
3;"O774";"O 77.4";"Leasing of intellectual property and similar products, except copyrighted works";""
4;"O7740";"O 77.40";"Leasing of intellectual property and similar products, except copyrighted works";""
3;"O775";"O 77.5";"Intermediation service activities for rental and leasing of tangible goods and non-financial intangible assets";""
4;"O7751";"O 77.51";"Intermediation service activities for rental and leasing of cars, motorhomes and trailers";""
4;"O7752";"O 77.52";"Intermediation service activities for rental and leasing of other tangible goods and non-financial intangible assets";""
2;"O78";"O 78";"Employment activities";""
3;"O781";"O 78.1";"Activities of employment placement agencies";""
4;"O7810";"O 78.10";"Activities of employment placement agencies";""
3;"O782";"O 78.2";"Temporary employment agency activities and other human resource provisions";""
4;"O7820";"O 78.20";"Temporary employment agency activities and other human resource provisions";""
2;"O79";"O 79";"Travel agency, tour operator and other reservation service and related activities";""
3;"O791";"O 79.1";"Travel agency and tour operator activities";""
4;"O7911";"O 79.11";"Travel agency activities";""
4;"O7912";"O 79.12";"Tour operator activities";""
3;"O799";"O 79.9";"Other reservation service and related activities";""
4;"O7990";"O 79.90";"Other reservation service and related activities";""
2;"O80";"O 80";"Investigation and security activities";""
3;"O800";"O 80.0";"Investigation and security activities";""
4;"O8001";"O 80.01";"Investigation and private security activities";""
4;"O8009";"O 80.09";"Security activities n.e.c.";""
2;"O81";"O 81";"Services to buildings and landscape activities";""
3;"O811";"O 81.1";"Combined facilities support activities";""
4;"O8110";"O 81.10";"Combined facilities support activities";""
3;"O812";"O 81.2";"Cleaning activities";""
4;"O8121";"O 81.21";"General cleaning of buildings";""
4;"O8122";"O 81.22";"Other building and industrial cleaning activities";""
4;"O8123";"O 81.23";"Other cleaning activities";""
3;"O813";"O 81.3";"Landscape service activities";""
4;"O8130";"O 81.30";"Landscape service activities";""
2;"O82";"O 82";"Office administrative, office support and other business support activities";""
3;"O821";"O 82.1";"Office administrative and support activities";""
4;"O8210";"O 82.10";"Office administrative and support activities";""
3;"O822";"O 82.2";"Activities of call centres";""
4;"O8220";"O 82.20";"Activities of call centres";""
3;"O823";"O 82.3";"Organisation of conventions and trade shows";""
4;"O8230";"O 82.30";"Organisation of conventions and trade shows";""
3;"O824";"O 82.4";"Intermediation service activities for business support service activities n.e.c.";""
4;"O8240";"O 82.40";"Intermediation service activities for business support service activities n.e.c.";""
3;"O829";"O 82.9";"Business support service activities n.e.c.";""
4;"O8291";"O 82.91";"Activities of collection agencies and credit bureaus";""
4;"O8292";"O 82.92";"Packaging activities";""
4;"O8299";"O 82.99";"Other business support service activities n.e.c.";""
1;"P";"P";"PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY";""
2;"P84";"P 84";"Public administration and defence; compulsory social security";""
3;"P841";"P 84.1";"Administration of the State and the economic, social and environmental policies of the community";""
4;"P8411";"P 84.11";"General public administration activities";""
4;"P8412";"P 84.12";"Regulation of health care, education, cultural services and other social services";""
4;"P8413";"P 84.13";"Regulation of and contribution to more efficient operation of businesses";""
3;"P842";"P 84.2";"Provision of services to the community as a whole";""
4;"P8421";"P 84.21";"Foreign affairs";""
4;"P8422";"P 84.22";"Defence activities";""
4;"P8423";"P 84.23";"Justice and judicial activities";""
4;"P8424";"P 84.24";"Public order and safety activities";""
4;"P8425";"P 84.25";"Fire service activities";""
3;"P843";"P 84.3";"Compulsory social security activities";""
4;"P8430";"P 84.30";"Compulsory social security activities";""
1;"Q";"Q";"EDUCATION";""
2;"Q85";"Q 85";"Education";""
3;"Q851";"Q 85.1";"Pre-primary education";""
4;"Q8510";"Q 85.10";"Pre-primary education";""
3;"Q852";"Q 85.2";"Primary education";""
4;"Q8520";"Q 85.20";"Primary education";""
3;"Q853";"Q 85.3";"Secondary and post-secondary non-tertiary education";""
4;"Q8531";"Q 85.31";"General secondary education";""
4;"Q8532";"Q 85.32";"Vocational secondary education";""
4;"Q8533";"Q 85.33";"Post-secondary non-tertiary education";""
3;"Q854";"Q 85.4";"Tertiary education";""
4;"Q8540";"Q 85.40";"Tertiary education";""
3;"Q855";"Q 85.5";"Other education";""
4;"Q8551";"Q 85.51";"Sports and recreation education";""
4;"Q8552";"Q 85.52";"Cultural education";""
4;"Q8553";"Q 85.53";"Driving school activities";""
4;"Q8559";"Q 85.59";"Other education n.e.c.";""
3;"Q856";"Q 85.6";"Educational support activities";""
4;"Q8561";"Q 85.61";"Intermediation service activities for courses and tutors";""
4;"Q8569";"Q 85.69";"Educational support activities n.e.c.";""
1;"R";"R";"HUMAN HEALTH AND SOCIAL WORK ACTIVITIES";""
2;"R86";"R 86";"Human health activities";""
3;"R861";"R 86.1";"Hospital activities";""
4;"R8610";"R 86.10";"Hospital activities";""
3;"R862";"R 86.2";"Medical and dental practice activities";""
4;"R8621";"R 86.21";"General medical practice activities";""
4;"R8622";"R 86.22";"Medical specialists activities";""
4;"R8623";"R 86.23";"Dental practice care activities";""
3;"R869";"R 86.9";"Other human health activities";""
4;"R8691";"R 86.91";"Diagnostic imaging services and medical laboratory activities";""
4;"R8692";"R 86.92";"Patient transportation by ambulance";""
4;"R8693";"R 86.93";"Activities of psychologists and psychotherapists, except medical doctors";""
4;"R8694";"R 86.94";"Nursing and midwifery activities";""
4;"R8695";"R 86.95";"Physiotherapy activities";""
4;"R8696";"R 86.96";"Traditional, complementary and alternative medicine activities";""
4;"R8697";"R 86.97";"Intermediation service activities for medical, dental and other human health services";""
4;"R8699";"R 86.99";"Other human health activities n.e.c.";""
2;"R87";"R 87";"Residential care activities";""
3;"R871";"R 87.1";"Residential nursing care activities";""
4;"R8710";"R 87.10";"Residential nursing care activities";""
3;"R872";"R 87.2";"Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse";""
4;"R8720";"R 87.20";"Residential care activities for persons living with or having a diagnosis of a mental illness or substance abuse";""
3;"R873";"R 87.3";"Residential care activities for older persons or persons with physical disabilities";""
4;"R8730";"R 87.30";"Residential care activities for older persons or persons with physical disabilities";""
3;"R879";"R 87.9";"Other residential care activities";""
4;"R8791";"R 87.91";"Intermediation service activities for residential care activities";""
4;"R8799";"R 87.99";"Other residential care activities n.e.c.";""
2;"R88";"R 88";"Social work activities without accommodation";""
3;"R881";"R 88.1";"Social work activities without accommodation for older persons or persons with disabilities";""
4;"R8810";"R 88.10";"Social work activities without accommodation for older persons or persons with disabilities";""
3;"R889";"R 88.9";"Other social work activities without accommodation";""
4;"R8891";"R 88.91";"Child day-care activities";""
4;"R8899";"R 88.99";"Other social work activities without accommodation n.e.c.";""
1;"S";"S";"ARTS, SPORTS AND RECREATION";""
2;"S90";"S 90";"Arts creation and performing arts activities";""
3;"S901";"S 90.1";"Arts creation activities";""
4;"S9011";"S 90.11";"Literary creation and musical composition activities";""
4;"S9012";"S 90.12";"Visual arts creation activities";""
4;"S9013";"S 90.13";"Other arts creation activities";""
3;"S902";"S 90.2";"Activities of performing arts";""
4;"S9020";"S 90.20";"Activities of performing arts";""
3;"S903";"S 90.3";"Support activities to arts creation and performing arts";""
4;"S9031";"S 90.31";"Operation of arts facilities and sites";""
4;"S9039";"S 90.39";"Other support activities to arts and performing arts";""
2;"S91";"S 91";"Libraries, archives, museums and other cultural activities";""
3;"S911";"S 91.1";"Library and archive activities";""
4;"S9111";"S 91.11";"Library activities";""
4;"S9112";"S 91.12";"Archive activities";""
3;"S912";"S 91.2";"Museum, collection, historical site and monument activities";""
4;"S9121";"S 91.21";"Museum and collection activities";""
4;"S9122";"S 91.22";"Historical site and monument activities";""
3;"S913";"S 91.3";"Conservation, restoration and other support activities for cultural heritage";""
4;"S9130";"S 91.30";"Conservation, restoration and other support activities for cultural heritage";""
3;"S914";"S 91.4";"Botanical and zoological garden and nature reserve activities";""
4;"S9141";"S 91.41";"Botanical and zoological garden activities";""
4;"S9142";"S 91.42";"Nature reserve activities";""
2;"S92";"S 92";"Gambling and betting activities";""
3;"S920";"S 92.0";"Gambling and betting activities";""
4;"S9200";"S 92.00";"Gambling and betting activities";""
2;"S93";"S 93";"Sports activities and amusement and recreation activities";""
3;"S931";"S 93.1";"Sports activities";""
4;"S9311";"S 93.11";"Operation of sports facilities";""
4;"S9312";"S 93.12";"Activities of sports clubs";""
4;"S9313";"S 93.13";"Activities of fitness centres";""
4;"S9319";"S 93.19";"Sports activities n.e.c.";""
3;"S932";"S 93.2";"Amusement and recreation activities";""
4;"S9321";"S 93.21";"Activities of amusement parks and theme parks";""
4;"S9329";"S 93.29";"Amusement and recreation activities n.e.c.";""
1;"T";"T";"OTHER SERVICE ACTIVITIES";""
2;"T94";"T 94";"Activities of membership organisations";""
3;"T941";"T 94.1";"Activities of business, employers and professional membership organisations";""
4;"T9411";"T 94.11";"Activities of business and employers membership organisations";""
4;"T9412";"T 94.12";"Activities of professional membership organisations";""
3;"T942";"T 94.2";"Activities of trade unions";""
4;"T9420";"T 94.20";"Activities of trade unions";""
3;"T949";"T 94.9";"Activities of other membership organisations";""
4;"T9491";"T 94.91";"Activities of religious organisations";""
4;"T9492";"T 94.92";"Activities of political organisations";""
4;"T9499";"T 94.99";"Activities of other membership organisations n.e.c.";""
2;"T95";"T 95";"Repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles";""
3;"T951";"T 95.1";"Repair and maintenance of computers and communication equipment";""
4;"T9510";"T 95.10";"Repair and maintenance of computers and communication equipment";""
3;"T952";"T 95.2";"Repair and maintenance of personal and household goods";""
4;"T9521";"T 95.21";"Repair and maintenance of consumer electronics";""
4;"T9522";"T 95.22";"Repair and maintenance of household appliances and home and garden equipment";""
4;"T9523";"T 95.23";"Repair and maintenance of footwear and leather goods";""
4;"T9524";"T 95.24";"Repair and maintenance of furniture and home furnishings";""
4;"T9525";"T 95.25";"Repair and maintenance of watches, clocks and jewellery";""
4;"T9529";"T 95.29";"Repair and maintenance of personal and household goods n.e.c.";""
3;"T953";"T 95.3";"Repair and maintenance of motor vehicles and motorcycles";""
4;"T9531";"T 95.31";"Repair and maintenance of motor vehicles";""
4;"T9532";"T 95.32";"Repair and maintenance of motorcycles";""
3;"T954";"T 95.4";"Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles";""
4;"T9540";"T 95.40";"Intermediation service activities for repair and maintenance of computers, personal and household goods, and motor vehicles and motorcycles";""
2;"T96";"T 96";"Personal service activities";""
3;"T961";"T 96.1";"Washing and cleaning of textile and fur products";""
4;"T9610";"T 96.10";"Washing and cleaning of textile and fur products";""
3;"T962";"T 96.2";"Hairdressing, beauty treatment, day spa and similar activities";""
4;"T9621";"T 96.21";"Hairdressing and barber activities";""
4;"T9622";"T 96.22";"Beauty care and other beauty treatment activities";""
4;"T9623";"T 96.23";"Day spa, sauna and steam bath activities";""
3;"T963";"T 96.3";"Funeral and related activities";""
4;"T9630";"T 96.30";"Funeral and related activities";""
3;"T964";"T 96.4";"Intermediation service activities for personal services";""
4;"T9640";"T 96.40";"Intermediation service activities for personal services";""
3;"T969";"T 96.9";"Other personal service activities";""
4;"T9691";"T 96.91";"Provision of domestic personal service activities";""
4;"T9699";"T 96.99";"Other personal service activities n.e.c.";""
1;"U";"U";"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS AND UNDIFFERENTIATED GOODS - AND SERVICE-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE";""
2;"U97";"U 97";"Activities of households as employers of domestic personnel";""
3;"U970";"U 97.0";"Activities of households as employers of domestic personnel";""
4;"U9700";"U 97.00";"Activities of households as employers of domestic personnel";""
2;"U98";"U 98";"Undifferentiated goods- and service-producing activities of private households for own use";""
3;"U981";"U 98.1";"Undifferentiated goods-producing activities of private households for own use";""
4;"U9810";"U 98.10";"Undifferentiated goods-producing activities of private households for own use";""
3;"U982";"U 98.2";"Undifferentiated service-producing activities of private households for own use";""
4;"U9820";"U 98.20";"Undifferentiated service-producing activities of private households for own use";""
1;"V";"V";"ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES";""
2;"V99";"V 99";"Activities of extraterritorial organisations and bodies";""
3;"V990";"V 99.0";"Activities of extraterritorial organisations and bodies";""
4;"V9900";"V 99.00";"Activities of extraterritorial organisations and bodies";""
