"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
5;"G47430";"G 47.43-0";"Einzelhandel mit Geräten der Unterhaltungselektronik";"EH - Unterhaltungselektronik"
3;"G475";"G 47.5";"Einzelhandel mit sonstigen Haushaltsgeräten, Textilien, Heimwerker- und Einrichtungsbedarf (in Verkaufsräumen)";"EH - sonst. Haushaltsgeräte/Textilien"
4;"G4751";"G 47.51";"Einzelhandel mit Textilien";"EH - Textilien"
5;"G47510";"G 47.51-0";"Einzelhandel mit Textilien";"EH - Textilien"
4;"G4752";"G 47.52";"Einzelhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf";"EH - Metallwaren und Baubedarf"
5;"G47520";"G 47.52-0";"Einzelhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf";"EH - Metallwaren und Baubedarf"
4;"G4753";"G 47.53";"Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten";"EH - Vorhänge, Teppiche und Tapeten"
5;"G47530";"G 47.53-0";"Einzelhandel mit Vorhängen, Teppichen, Fußbodenbelägen und Tapeten";"EH - Vorhänge, Teppiche und Tapeten"
4;"G4754";"G 47.54";"Einzelhandel mit elektrischen Haushaltsgeräten";"EH - Elektr. Haushaltsgeräte"
5;"G47540";"G 47.54-0";"Einzelhandel mit elektrischen Haushaltsgeräten";"EH - Elektr. Haushaltsgeräte"
4;"G4759";"G 47.59";"Einzelhandel mit Möbeln, Einrichtungsgegenständen und sonstigem Hausrat";"EH - Möbel und Einrichtungsgegenstände"
5;"G47591";"G 47.59-1";"Einzelhandel mit Musikinstrumenten und Musikalien";"EH - Musikinstrumente"
5;"G47592";"G 47.59-2";"Einzelhandel mit Wohnmöbeln";"EH - Wohnmöbel"
5;"G47599";"G 47.59-9";"Einzelhandel mit Einrichtungsgegenständen und Hausrat a.n.g.";"EH - Einrichtungsgegenstände a.n.g."
3;"G476";"G 47.6";"Einzelhandel mit Verlagsprodukten, Sportausrüstungen und Spielwaren (in Verkaufsräumen)";"EH - Verlagsprodukte/Sportartikel"
4;"G4761";"G 47.61";"Einzelhandel mit Büchern";"EH - Bücher"
5;"G47610";"G 47.61-0";"Einzelhandel mit Büchern";"EH - Bücher"
4;"G4762";"G 47.62";"Einzelhandel mit Zeitschriften, Zeitungen, Schreibwaren und Bürobedarf";"EH - Zeitschriften und Bürobedarf"
5;"G47620";"G 47.62-0";"Einzelhandel mit Zeitschriften, Zeitungen, Schreibwaren und Bürobedarf";"EH - Zeitschriften und Bürobedarf"
4;"G4763";"G 47.63";"Einzelhandel mit bespielten Ton- und Bildträgern";"EH - Bespielte Ton- und Bildträger"
5;"G47630";"G 47.63-0";"Einzelhandel mit bespielten Ton- und Bildträgern";"EH - Bespielte Ton- und Bildträger"
4;"G4764";"G 47.64";"Einzelhandel mit Fahrrädern, Sport- und Campingartikeln";"EH - Fahrräder und Sportartikel"
5;"G47640";"G 47.64-0";"Einzelhandel mit Fahrrädern, Sport- und Campingartikeln";"EH - Fahrräder und Sportartikel"
4;"G4765";"G 47.65";"Einzelhandel mit Spielwaren";"EH - Spielwaren"
5;"G47650";"G 47.65-0";"Einzelhandel mit Spielwaren";"EH - Spielwaren"
3;"G477";"G 47.7";"Einzelhandel mit sonstigen Gütern (in Verkaufsräumen)";"EH - Sonst. Güter"
4;"G4771";"G 47.71";"Einzelhandel mit Bekleidung";"EH - Bekleidung"
5;"G47710";"G 47.71-0";"Einzelhandel mit Bekleidung";"EH - Bekleidung"
4;"G4772";"G 47.72";"Einzelhandel mit Schuhen und Lederwaren";"EH - Schuhe und Lederwaren"
5;"G47721";"G 47.72-1";"Einzelhandel mit Schuhen";"EH - Schuhe"
5;"G47722";"G 47.72-2";"Einzelhandel mit Leder- und Taschnerwaren";"EH - Leder- und Taschnerwaren"
4;"G4773";"G 47.73";"Apotheken";"Apotheken"
5;"G47730";"G 47.73-0";"Apotheken";"Apotheken"
4;"G4774";"G 47.74";"Einzelhandel mit medizinischen und orthopädischen Artikeln";"EH - Medizinische Artikel"
5;"G47740";"G 47.74-0";"Einzelhandel mit medizinischen und orthopädischen Artikeln";"EH - Medizinische Artikel"
4;"G4775";"G 47.75";"Einzelhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln";"EH - Körperpflegemittel"
5;"G47750";"G 47.75-0";"Einzelhandel mit kosmetischen Erzeugnissen und Körperpflegemitteln";"EH - Körperpflegemittel"
4;"G4776";"G 47.76";"Einzelhandel mit Blumen, Pflanzen, Sämereien, Düngemitteln, zoologischem Bedarf und lebenden Tieren";"EH - Blumen, Pflanzen und lebende Tiere"
5;"G47761";"G 47.76-1";"Einzelhandel mit Blumen, Pflanzen, Sämereien, Düngemitteln; Blumenbinderei";"EH - Blumen und Pflanzen"
5;"G47762";"G 47.76-2";"Einzelhandel mit zoologischem Bedarf und lebenden Tieren";"EH - Zoologischer Bedarf und Tiere"
4;"G4777";"G 47.77";"Einzelhandel mit Uhren und Schmuck";"EH - Uhren und Schmuck"
5;"G47770";"G 47.77-0";"Einzelhandel mit Uhren und Schmuck";"EH - Uhren und Schmuck"
4;"G4778";"G 47.78";"Sonstiger Einzelhandel in Verkaufsräumen (ohne Antiquitäten und Gebrauchtwaren)";"Sonst. EH in Verkaufsräumen"
5;"G47781";"G 47.78-1";"Einzelhandel mit Fotoartikeln, optischen und feinmechanischen Artikeln";"EH - Foto- und optische Artikel"
5;"G47782";"G 47.78-2";"Einzelhandel mit Brennstoffen";"EH - Brennstoffe"
5;"G47789";"G 47.78-9";"Sonstiger Einzelhandel a.n.g. in Verkaufsräumen (ohne Antiquitäten und Gebrauchtwaren)";"Sonst. EH a.n.g. in Verkaufsräumen"
4;"G4779";"G 47.79";"Einzelhandel mit Antiquitäten und Gebrauchtwaren";"EH - Antiquitäten und Gebrauchtwaren"
5;"G47790";"G 47.79-0";"Einzelhandel mit Antiquitäten und Gebrauchtwaren";"EH - Antiquitäten und Gebrauchtwaren"
3;"G478";"G 47.8";"Einzelhandel an Verkaufsständen und auf Märkten";"EH - an Verkaufsständen/Märkten"
4;"G4781";"G 47.81";"Einzelhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren an Verkaufsständen und auf Märkten";"EH - Nahrungsmittel an Verkaufsständen"
5;"G47810";"G 47.81-0";"Einzelhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren an Verkaufsständen und auf Märkten";"EH - Nahrungsmittel an Verkaufsständen"
4;"G4782";"G 47.82";"Einzelhandel mit Textilien, Bekleidung und Schuhen an Verkaufsständen und auf Märkten";"EH - Bekleidung an Verkaufsständen"
5;"G47820";"G 47.82-0";"Einzelhandel mit Textilien, Bekleidung und Schuhen an Verkaufsständen und auf Märkten";"EH - Bekleidung an Verkaufsständen"
4;"G4789";"G 47.89";"Einzelhandel mit sonstigen Gütern an Verkaufsständen und auf Märkten";"EH - Sonst. Güter an Verkaufsständen"
5;"G47890";"G 47.89-0";"Einzelhandel mit sonstigen Gütern an Verkaufsständen und auf Märkten";"EH - Sonst. Güter an Verkaufsständen"
3;"G479";"G 47.9";"Einzelhandel, nicht in Verkaufsräumen, an Verkaufsständen oder auf Märkten";"EH - Versand-/Internethandel"
4;"G4791";"G 47.91";"Versand- und Internet-Einzelhandel";"Versand- und Internet-EH"
5;"G47910";"G 47.91-0";"Versand- und Internet-Einzelhandel";"Versand- und Internet-EH"
4;"G4799";"G 47.99";"Sonstiger Einzelhandel, nicht in Verkaufsräumen, an Verkaufsständen oder auf Märkten";"Sonst. EH; nicht: Verkaufsräume, Märkte"
5;"G47990";"G 47.99-0";"Sonstiger Einzelhandel, nicht in Verkaufsräumen, an Verkaufsständen oder auf Märkten";"Sonst. EH; nicht: Verkaufsräume, Märkte"
1;"H";"H";"VERKEHR UND LAGEREI";"Verkehr"
2;"H49";"H 49";"Landverkehr und Transport in Rohrfernleitungen";"Landverkehr"
3;"H491";"H 49.1";"Personenbeförderung im Eisenbahnfernverkehr";"Eisenbahnfernverkehr (Personen)"
4;"H4910";"H 49.10";"Personenbeförderung im Eisenbahnfernverkehr";"Eisenbahnfernverkehr (Personen)"
5;"H49100";"H 49.10-0";"Personenbeförderung im Eisenbahnfernverkehr";"Eisenbahnfernverkehr (Personen)"
3;"H492";"H 49.2";"Güterbeförderung im Eisenbahnverkehr";"Eisenbahnverkehr (Güter)"
4;"H4920";"H 49.20";"Güterbeförderung im Eisenbahnverkehr";"Eisenbahnverkehr (Güter)"
5;"H49200";"H 49.20-0";"Güterbeförderung im Eisenbahnverkehr";"Eisenbahnverkehr (Güter)"
3;"H493";"H 49.3";"Sonstige Personenbeförderung im Landverkehr";"Sonst. Landverkehr (Personen)"
4;"H4931";"H 49.31";"Personenbeförderung im Nahverkehr zu Lande (ohne Taxis)";"Nahverkehr zu Lande (Personen)"
5;"H49311";"H 49.31-1";"Straßenbahn-, O-Bus, U-Bahn- und Schnellbahnlinienverkehr";"Straßenbahn- und Schnellbahnverkehr"
5;"H49312";"H 49.31-2";"Autobusliniennahverkehr";"Autobuslinienverkehr"
4;"H4932";"H 49.32";"Betrieb von Taxis";"Betrieb v. Taxis"
5;"H49320";"H 49.32-0";"Betrieb von Taxis";"Betrieb v. Taxis"
4;"H4939";"H 49.39";"Sonstige Personenbeförderung im Landverkehr a.n.g.";"Landverkehr a.n.g. (Personen)"
5;"H49391";"H 49.39-1";"Seilbahn-, Sessel- und Schleppliftverkehr";"Seilbahn- und Schleppliftverkehr"
5;"H49399";"H 49.39-9";"Sonstige Personenbeförderung im Landverkehr a.n.g. (ohne Seilbahnwirtschaft)";"Landverkehr a.n.g. (Personen)"
3;"H494";"H 49.4";"Güterbeförderung im Straßenverkehr, Umzugstransporte";"Güterbeförderung im Straßenverkehr"
4;"H4941";"H 49.41";"Güterbeförderung im Straßenverkehr";"Güterbeförderung im Straßenverkehr"
5;"H49410";"H 49.41-0";"Güterbeförderung im Straßenverkehr";"Güterbeförderung im Straßenverkehr"
4;"H4942";"H 49.42";"Umzugstransporte";"Umzugstransporte"
5;"H49420";"H 49.42-0";"Umzugstransporte";"Umzugstransporte"
3;"H495";"H 49.5";"Transport in Rohrfernleitungen";"Transport in Rohrfernleitungen"
4;"H4950";"H 49.50";"Transport in Rohrfernleitungen";"Transport in Rohrfernleitungen"
5;"H49500";"H 49.50-0";"Transport in Rohrfernleitungen";"Transport in Rohrfernleitungen"
2;"H50";"H 50";"Schifffahrt";"Schifffahrt"
3;"H501";"H 50.1";"Personenbeförderung in der See- und Küstenschifffahrt";"See-/Küstenschifffahrt (Personen)"
4;"H5010";"H 50.10";"Personenbeförderung in der See- und Küstenschifffahrt";"See-/Küstenschifffahrt (Personen)"
5;"H50100";"H 50.10-0";"Personenbeförderung in der See- und Küstenschifffahrt";"See-/Küstenschifffahrt (Personen)"
3;"H502";"H 50.2";"Güterbeförderung in der See- und Küstenschifffahrt";"See-/Küstenschifffahrt (Güter)"
4;"H5020";"H 50.20";"Güterbeförderung in der See- und Küstenschifffahrt";"See-/Küstenschifffahrt (Güter)"
5;"H50200";"H 50.20-0";"Güterbeförderung in der See- und Küstenschifffahrt";"See-/Küstenschifffahrt (Güter)"
3;"H503";"H 50.3";"Personenbeförderung in der Binnenschifffahrt";"Binnenschifffahrt (Personen)"
4;"H5030";"H 50.30";"Personenbeförderung in der Binnenschifffahrt";"Binnenschifffahrt (Personen)"
5;"H50300";"H 50.30-0";"Personenbeförderung in der Binnenschifffahrt";"Binnenschifffahrt (Personen)"
3;"H504";"H 50.4";"Güterbeförderung in der Binnenschifffahrt";"Binnenschifffahrt (Güter)"
4;"H5040";"H 50.40";"Güterbeförderung in der Binnenschifffahrt";"Binnenschifffahrt (Güter)"
5;"H50400";"H 50.40-0";"Güterbeförderung in der Binnenschifffahrt";"Binnenschifffahrt (Güter)"
2;"H51";"H 51";"Luftfahrt";"Luftfahrt"
3;"H511";"H 51.1";"Personenbeförderung in der Luftfahrt";"Luftfahrt (Personen)"
4;"H5110";"H 51.10";"Personenbeförderung in der Luftfahrt";"Luftfahrt (Personen)"
5;"H51100";"H 51.10-0";"Personenbeförderung in der Luftfahrt";"Luftfahrt (Personen)"
3;"H512";"H 51.2";"Güterbeförderung in der Luftfahrt und Raumtransport";"Luftfahrt (Güter)"
4;"H5121";"H 51.21";"Güterbeförderung in der Luftfahrt";"Luftfahrt (Güter)"
5;"H51210";"H 51.21-0";"Güterbeförderung in der Luftfahrt";"Luftfahrt (Güter)"
4;"H5122";"H 51.22";"Raumtransport";"Raumtransport"
5;"H51220";"H 51.22-0";"Raumtransport";"Raumtransport"
2;"H52";"H 52";"Lagerei sowie Erbringung von sonstigen Dienstleistungen für den Verkehr";"Dienstleistungen für den Verkehr"
3;"H521";"H 52.1";"Lagerei";"Lagerei"
